tournament,start,model,n_matches,log_loss_1x2,rps,brier,accuracy,exact_score_ll,poisson_deviance,coverage90_total_goals,w_ens
WC 2006,2006-06-09,uniform,64,1.0775031242508484,0.2364852289816976,0.6532863738901876,0.515625,2.910021520753028,1.3880338649057804,0.96875,
WC 2006,2006-06-09,elo_poisson,64,0.9675160641032798,0.19714862856617804,0.572911572115349,0.578125,2.7488652413822674,1.2268779294047953,0.984375,
WC 2006,2006-06-09,dixon_coles,64,0.9162515131015657,0.1808510096688981,0.539406119142026,0.625,2.6845791578908567,1.1664012002671291,0.984375,
WC 2006,2006-06-09,gbm,64,0.944106844169446,0.1897714215269914,0.5578982059318071,0.578125,2.757873950505349,1.2371061670465295,0.984375,
WC 2006,2006-06-09,ensemble,64,0.9256661719987185,0.18385499130296504,0.5453935177780264,0.578125,2.7044748957326443,1.1856585274082625,0.984375,0.5
EURO 2008,2008-06-07,uniform,31,1.0531969046738308,0.2461292662531424,0.6380659200995011,0.3548387096774194,2.8709815358209303,1.192493085247454,1.0,
EURO 2008,2008-06-07,elo_poisson,31,1.02900445061978,0.235659285832026,0.6185364895777242,0.4838709677419355,2.868060539666494,1.1895721058790998,1.0,
EURO 2008,2008-06-07,dixon_coles,31,1.014118589509074,0.2260655884362744,0.6038373322502611,0.5161290322580645,2.8932276126587575,1.2121148057822437,0.967741935483871,
EURO 2008,2008-06-07,gbm,31,1.0154417711660322,0.22880393149373926,0.6053274057419684,0.5483870967741935,2.8353673912874626,1.1522513369112468,1.0,
EURO 2008,2008-06-07,ensemble,31,1.0141185895090745,0.22606558843627436,0.6038373322502611,0.5161290322580645,2.8932276126587575,1.2121148057822437,0.967741935483871,1.0
WC 2010,2010-06-11,uniform,64,1.0826996263673143,0.23442340032366463,0.6565404019419896,0.375,2.849311067898253,1.2827009208505558,0.984375,
WC 2010,2010-06-11,elo_poisson,64,1.00205130486602,0.2052867010988022,0.5976482574016045,0.546875,2.73592135464525,1.169311243591661,0.984375,
WC 2010,2010-06-11,dixon_coles,64,0.981914062991945,0.19888415298273693,0.5860245999762281,0.578125,2.702899262959269,1.1378651834044826,0.984375,
WC 2010,2010-06-11,gbm,64,0.9825146640954943,0.19865030857519253,0.585946119270157,0.546875,2.7530167902981226,1.1854704221705976,0.96875,
WC 2010,2010-06-11,ensemble,64,0.9737868159315674,0.19591080654858123,0.5794068040155664,0.53125,2.6989192350869806,1.1315562982750849,0.984375,0.7000000000000001
EURO 2012,2012-06-08,uniform,31,1.0746534295418186,0.23761590921352232,0.6515019068940383,0.3548387096774194,2.83092627348839,1.1209794506761448,0.967741935483871,
EURO 2012,2012-06-08,elo_poisson,31,1.0409301188135003,0.22437362352161302,0.6266501897648044,0.5161290322580645,2.7735302015322754,1.0635834388583485,0.967741935483871,
EURO 2012,2012-06-08,dixon_coles,31,1.0157115089347555,0.2151292868008723,0.6089033088264318,0.5161290322580645,2.7731011603899782,1.0603545293392875,0.9354838709677419,
EURO 2012,2012-06-08,gbm,31,1.0784709174106961,0.24123473917537586,0.6590858993290892,0.45161290322580644,2.7665998052452467,1.053175098544275,1.0,
EURO 2012,2012-06-08,ensemble,31,1.0274568065307652,0.22029108121201244,0.6186232539280823,0.5161290322580645,2.760058285971295,1.044729845022649,0.967741935483871,0.75
WC 2014,2014-06-12,uniform,64,1.0671101200179165,0.2406088862977636,0.6467783177865837,0.453125,3.058471792728273,1.3274584110699066,0.9375,
WC 2014,2014-06-12,elo_poisson,64,1.003563916064468,0.2166828841045894,0.6008394847877707,0.59375,3.015741602141231,1.2847292661251304,0.9375,
WC 2014,2014-06-12,dixon_coles,64,1.001830952142335,0.2169948554545286,0.5995933673880804,0.5625,3.0411312632419687,1.3233354741822456,0.921875,
WC 2014,2014-06-12,gbm,64,0.9630354287485656,0.20379180775611516,0.5745599444302614,0.59375,2.996403492601803,1.2690368859142243,0.9375,
WC 2014,2014-06-12,ensemble,64,0.9832654104620827,0.21069838190468373,0.587309700396199,0.59375,3.011280733308025,1.2862183016703082,0.921875,0.7000000000000001
EURO 2016,2016-06-10,uniform,51,1.09085100223628,0.231189159291456,0.6616447596703064,0.39215686274509803,2.7183421749946532,1.1892896417370415,0.9607843137254902,
EURO 2016,2016-06-10,elo_poisson,51,1.0398819844682037,0.21389968213922114,0.6248205775185646,0.45098039215686275,2.627248043677609,1.0981964146757184,0.9607843137254902,
EURO 2016,2016-06-10,dixon_coles,51,1.0858160586516823,0.22602179641948067,0.6534297092205438,0.4117647058823529,2.66011946398592,1.1268731313600633,0.9803921568627451,
EURO 2016,2016-06-10,gbm,51,1.0957131923977734,0.23187335634291695,0.6658005633032573,0.43137254901960786,2.701552384282781,1.1712497166932314,0.9607843137254902,
EURO 2016,2016-06-10,ensemble,51,1.0858862301966388,0.2275551278713098,0.6564512595097733,0.4117647058823529,2.6645663921883114,1.131825006012823,0.9803921568627451,0.55
WC 2018,2018-06-14,uniform,64,1.0671101200179167,0.2406088862977636,0.6467783177865837,0.390625,2.917945470772949,1.1324125223890926,0.921875,
WC 2018,2018-06-14,elo_poisson,64,1.0147359767574309,0.22008215938234998,0.6070765534566767,0.53125,2.8485149137453316,1.0629819636053641,0.921875,
WC 2018,2018-06-14,dixon_coles,64,0.9846111999331351,0.20961992590685924,0.5883525708459533,0.59375,2.8331019417469507,1.043508995473094,0.921875,
WC 2018,2018-06-14,gbm,64,0.9781872705602013,0.2073900856470505,0.5810115508097932,0.546875,2.8057077510383444,1.011706110802644,0.921875,
WC 2018,2018-06-14,ensemble,64,0.9764781502703621,0.20686018409283047,0.5814092120359303,0.59375,2.81009343783405,1.0170570261010634,0.921875,0.6000000000000001
EURO 2020,2021-06-11,uniform,51,1.0778088008459343,0.23636394494298982,0.6534777873049995,0.4117647058823529,3.048635748286015,1.2466161605774413,0.9411764705882353,
