tournament,date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,lam_home,lam_away,w_ens
WC 2006,2006-06-09,Germany,Costa Rica,4,2,0.719505819255446,0.1656219710462288,0.11487220969832511,2.6580594573439598,1.005665724179147,0.5
WC 2006,2006-06-09,Poland,Ecuador,0,2,0.48640355092624443,0.2829437659312295,0.23065268314252635,1.4649279857874307,0.9255671818004163,0.5
WC 2006,2006-06-10,Trinidad and Tobago,Sweden,0,0,0.1839071044264542,0.27107614806585706,0.5450167475076888,0.8074433153080006,1.564414402442262,0.5
WC 2006,2006-06-10,Argentina,Ivory Coast,2,1,0.4498862766064834,0.27612301740490364,0.27399070598861297,1.4790818967370458,1.1006449665274523,0.5
WC 2006,2006-06-10,England,Paraguay,1,0,0.4834250898995357,0.28363368848950854,0.23294122161095585,1.44973051678833,0.9254418777146853,0.5
WC 2006,2006-06-11,Serbia,Netherlands,0,1,0.22891521926825015,0.30293800447747615,0.4681467762542736,0.8330976578703018,1.2934491964061325,0.5
WC 2006,2006-06-11,Angola,Portugal,0,1,0.13715878072174187,0.22838338988214027,0.6344578293961178,0.7628500604741149,1.898137956567602,0.5
WC 2006,2006-06-11,Mexico,Iran,3,1,0.3360612603653872,0.2900929333918023,0.3738458062428105,1.198702969584965,1.2772892484285763,0.5
WC 2006,2006-06-12,Australia,Japan,3,1,0.4687789979970428,0.27772250053276143,0.2534985014701958,1.4688918412138596,1.01970354162485,0.5
WC 2006,2006-06-12,Italy,Ghana,2,0,0.5371071937974523,0.28092817373605966,0.18196463246648809,1.4776644618634158,0.7613359494634705,0.5
WC 2006,2006-06-12,United States,Czech Republic,0,3,0.2778745516432829,0.3040473940191074,0.4180780543376098,0.9713938501124044,1.2492584313173276,0.5
WC 2006,2006-06-13,Brazil,Croatia,1,0,0.6108445587375446,0.23539920352747837,0.15375623773497696,1.8575191078736055,0.8216054118355107,0.5
WC 2006,2006-06-13,France,Switzerland,0,0,0.5591057883556629,0.26553764595938667,0.17535656568495034,1.5958540055191155,0.7981614800639545,0.5
WC 2006,2006-06-13,South Korea,Togo,2,1,0.5491613258599006,0.281896669708315,0.16894200443178448,1.4812684722977316,0.6970980517985892,0.5
WC 2006,2006-06-14,Tunisia,Saudi Arabia,2,2,0.47742848231435214,0.2929118875758349,0.22965963010981302,1.3886417384576446,0.8737258891333763,0.5
WC 2006,2006-06-14,Spain,Ukraine,4,0,0.46570184058832464,0.3153802600894793,0.2189178993221963,1.2246170163920165,0.7846324952009378,0.5
WC 2006,2006-06-14,Germany,Poland,1,0,0.5888137628680318,0.21710843627808848,0.19407780085387985,2.1621986234728725,1.147148598470431,0.5
WC 2006,2006-06-15,Ecuador,Costa Rica,3,0,0.3449115116810607,0.2911942263458129,0.36389426197312635,1.1937181245399229,1.2473495283086367,0.5
WC 2006,2006-06-15,England,Trinidad and Tobago,2,0,0.661372280969722,0.2144283993692825,0.12419931966099565,2.0089205345984174,0.7508795026631074,0.5
WC 2006,2006-06-15,Sweden,Paraguay,1,0,0.3944201253391874,0.3119674964732622,0.29361237818755026,1.1697872226263832,0.9789155480956084,0.5
WC 2006,2006-06-16,Argentina,Serbia,6,0,0.44325309464814755,0.2837798520103828,0.27296705334146987,1.3966858840705463,1.0583610529999659,0.5
WC 2006,2006-06-16,Netherlands,Ivory Coast,2,1,0.47854505483234744,0.2933088029994848,0.22814614216816764,1.3756964564974503,0.8676888949044621,0.5
WC 2006,2006-06-16,Mexico,Angola,0,0,0.531496326619312,0.2671095981361102,0.20139407524457784,1.5967662485929952,0.9049628481936425,0.5
WC 2006,2006-06-17,Portugal,Iran,2,0,0.4289673965857425,0.2853688513684242,0.2856637520458333,1.3863639042310487,1.0762554412164185,0.5
WC 2006,2006-06-17,Italy,United States,1,1,0.37950959380357263,0.32440376691495404,0.2960866392814733,1.1065256852714462,0.9450574837617739,0.5
WC 2006,2006-06-17,Czech Republic,Ghana,0,2,0.5871063011612596,0.25144166202106316,0.16145203681767717,1.7047189006569532,0.7788454961268126,0.5
WC 2006,2006-06-18,Brazil,Australia,2,0,0.47647208742935876,0.2660213805046416,0.2575065320659997,1.5896343928402314,1.0986965232335069,0.5
WC 2006,2006-06-18,France,South Korea,1,1,0.4664052823549586,0.3182881822697794,0.2153065353752619,1.2175553007106332,0.7538622190599928,0.5
WC 2006,2006-06-18,Japan,Croatia,0,0,0.3621792896846797,0.3049599154406389,0.33286079487468145,1.1628523718033883,1.095366682305893,0.5
WC 2006,2006-06-19,Saudi Arabia,Ukraine,0,4,0.2261634932280601,0.30827177890034707,0.4655647278715928,0.7979187638888632,1.3367145412068708,0.5
WC 2006,2006-06-19,Spain,Tunisia,3,1,0.48121165647667175,0.29611030505233,0.22267803847099826,1.3552231883079195,0.8376971013441821,0.5
WC 2006,2006-06-19,Togo,Switzerland,0,2,0.19653244068087106,0.26578153312376224,0.5376860261953665,0.8652872691686457,1.6131735584453282,0.5
WC 2006,2006-06-20,Sweden,England,2,2,0.2658017546966615,0.2885884811230875,0.4456097641802508,1.006320587225484,1.3984568826438646,0.5
WC 2006,2006-06-20,Costa Rica,Poland,1,2,0.24865112020887908,0.26447801228170564,0.48687086750941533,1.0941322279317742,1.601327112190218,0.5
WC 2006,2006-06-20,Germany,Ecuador,3,0,0.7059979153309489,0.18153373365217906,0.11246835101687191,2.3962259662635454,0.8591523851316114,0.5
WC 2006,2006-06-20,Paraguay,Trinidad and Tobago,2,0,0.5038004443815556,0.2851197742079783,0.2110797814104661,1.444401405993923,0.8446180956851423,0.5
WC 2006,2006-06-21,Portugal,Mexico,2,1,0.4388118436879518,0.28792850370207806,0.2732596526099702,1.3896657610988987,1.0376388100069658,0.5
WC 2006,2006-06-21,Netherlands,Argentina,0,0,0.41135424241894486,0.29278828670922125,0.2958574708718339,1.315663920932885,1.064207448574408,0.5
WC 2006,2006-06-21,Iran,Angola,1,1,0.5546361285441428,0.2544999949637538,0.19086387649210357,1.698611240384633,0.9100208286693374,0.5
